Library,pathway,ES,NES,NOM p-val,FDR q-val,Lead_genes
Reactome,Plasma Lipoprotein Clearance R-HSA-8964043,-0.2967552503224389,-0.9423266265114578,0.5623869801084991,0.9353659973108583,MYLIP;RPS27A;UBB;UBA52;AP2S1;CES3;LSR;CUBN;AP2A2;AP2A1;NR1H3;NR1H2
GO-BP,peptidyl-S-diacylglycerol-L-cysteine Biosynthetic Process From Peptidyl-Cysteine (GO:0018231),-0.35686109641970587,-0.9837755811434588,0.5072463768115942,0.9355315368744892,ZDHHC14;ZDHHC2;ZDHHC4
GO-BP,peptidyl-L-cysteine S-palmitoylation (GO:0018230),-0.35686109641970587,-0.9837755811434588,0.5072463768115942,0.9355315368744892,ZDHHC14;ZDHHC2;ZDHHC4
GO-BP,Positive Regulation Of Cellular Extravasation (GO:0002693),-0.4029610120041204,-0.9820012200263131,0.4906716417910448,0.9356575110601324,THY1;RIPOR2;JAM3;MDK;CD99;PLVAP;AGER;CD47
Reactome,Glycogen Metabolism R-HSA-8982491,-0.3170267293420622,-0.9355156723951635,0.5393053016453382,0.9357367117780764,RPS27A;PHKA1;UBB;UBA52;NHLRC1;PHKG2;GYG2
GO-BP,Adherens Junction Organization (GO:0034332),-0.3198739965652545,-1.0190857379122356,0.44095940959409596,0.9358408239364996,TJP1;FERMT2;MTSS1;INAVA;CDH11;DCHS1;JAM3;CDH2;PCDHGB4
Reactome,COPI-mediated Anterograde Transport R-HSA-6807878,-0.23865956516740544,-0.9395558029462269,0.5761589403973509,0.9360605215615785,COPZ2;FOLR2;ANK1;KDELR3;ANK2;SPTBN5;BET1L;DCTN5;CAPZB;COG5
GO-BP,Mesoderm Development (GO:0007498),-0.37623720240189934,-0.9496805844211411,0.5220588235294118,0.93614313286569,MEST;GDF11
Reactome,Prolonged ERK Activation Events R-HSA-169893,0.30901975917221314,0.7981212763469614,0.7039473684210527,0.936157066083568,YWHAB
GO-BP,Muscle Cell Differentiation (GO:0042692),-0.30543881059352906,-0.952501669574955,0.540590405904059,0.9362855079985302,POPDC3;RORA;SEMA4C;POPDC2;HDGFL2;MRTFA;SPEG
GO-BP,Purine Ribonucleotide Metabolic Process (GO:0009150),-0.254568982356015,-0.9488045055161084,0.5392320534223706,0.9363574841645524,HSPA1A;TPST1;HSPA1B;ABHD14B;ENTPD7;TPST2;PDE9A;HINT1;EPHA2;SULT1A2;MYH3;OXSM;SULT1A1;BAD;ACSF2;NT5E
Reactome,Early SARS-CoV-2 Infection Events R-HSA-9772572,-0.2830571411716537,-0.9344622782526578,0.5746527777777778,0.9363636842356793,HSPG2;SDC2;GPC6;GPC3
Reactome,Signaling By Hippo R-HSA-2028269,-0.31917120912649,-0.9402627488506241,0.550561797752809,0.9365002944551366,TJP1;WWC1;LATS2;AMOTL1;YAP1;WWTR1;LATS1;TJP2
GO-BP,Vasculature Development (GO:0001944),-0.3989962300329667,-0.9491472401810219,0.5403377110694184,0.9365358410113613,PDGFRB;NOTCH4;PDGFRA;FBXW7;FLT4
Reactome,RND1 GTPase Cycle R-HSA-9696273,-0.28125967516399475,-0.9368368305961281,0.540447504302926,0.9365811768626395,ARHGAP5;PLEKHG5;ARHGAP35;DST;CCDC88A
Reactome,Pre-NOTCH Expression And Processing R-HSA-1912422,-0.24330509423651306,-0.9359828689913898,0.5813953488372093,0.936651121401381,H2BC14;NOTCH1;H2BC12;H2AC6;H2AC14;NOTCH4;H2BC4;H2BC3;H2AJ;CREBBP
GO-BP,Calcium-Independent Cell-Cell Adhesion Via Plasma Membrane Cell-Adhesion Molecules (GO:0016338),-0.39822339468575196,-0.946558226976893,0.550561797752809,0.9369977541997914,CLDN7;CLDN12;CLDN20
