TF,activity,pvalue,FDR,direction
PLAGL2,0.5111736575142608,0.8670444488525391,0.9961943348185927,activated_in_AD
NR1H2,0.5059740222541121,0.8677031397819519,0.9961943348185927,activated_in_AD
GFI1B,0.49773269667453834,0.8677031397819519,0.9961943348185927,activated_in_AD
HIVEP1,0.4790125102726214,0.880066454410553,0.9961943348185927,activated_in_AD
ARNT,0.4719968123696314,0.8838495016098022,0.9961943348185927,activated_in_AD
TP73,0.47100581172190414,0.8838495016098022,0.9961943348185927,activated_in_AD
ETV6,0.4663336836792893,0.8852428793907166,0.9961943348185927,activated_in_AD
PAX7,0.46242770167867825,0.8852428793907166,0.9961943348185927,activated_in_AD
MEOX2,0.46180703104754506,0.8852428793907166,0.9961943348185927,activated_in_AD
STAT2,0.4599301845572712,0.8852428793907166,0.9961943348185927,activated_in_AD
MYOD1,0.45992674343627854,0.8852428793907166,0.9961943348185927,activated_in_AD
POU5F1,0.43867829047871315,0.8971976637840271,0.9961943348185927,activated_in_AD
TCF7,0.438108395440671,0.8971976637840271,0.9961943348185927,activated_in_AD
TBX1,0.42994483930532074,0.9008573889732361,0.9961943348185927,activated_in_AD
ASCL2,0.41794833759273775,0.9043238759040833,0.9961943348185927,activated_in_AD
NFIC,0.4141164664166426,0.9043238759040833,0.9961943348185927,activated_in_AD
TFAP2C,0.4124293701337154,0.9043238759040833,0.9961943348185927,activated_in_AD
SALL3,0.4118665523950289,0.9043238759040833,0.9961943348185927,activated_in_AD
KDM2A,0.411490332376789,0.9043238759040833,0.9961943348185927,activated_in_AD
MEIS2,0.39919891543064806,0.9089063405990601,0.9961943348185927,activated_in_AD
CREB5,0.39438157213574343,0.9089063405990601,0.9961943348185927,activated_in_AD
HCFC1,0.3813254278950129,0.9132930040359497,0.9961943348185927,activated_in_AD
GATA1,0.37661292956385817,0.9141461849212646,0.9961943348185927,activated_in_AD
PKNOX1,0.37242189755002525,0.9156373143196106,0.9961943348185927,activated_in_AD
ETV7,0.37028214872462306,0.9156373143196106,0.9961943348185927,activated_in_AD
TRIM28,0.3684275996295028,0.9156373143196106,0.9961943348185927,activated_in_AD
HOXA1,0.3670395072268259,0.9156373143196106,0.9961943348185927,activated_in_AD
FOSL1,0.36069870512460483,0.9160852432250977,0.9961943348185927,activated_in_AD
BATF,0.3584303848456383,0.9160852432250977,0.9961943348185927,activated_in_AD
ETV5,0.358048187644613,0.9160852432250977,0.9961943348185927,activated_in_AD
IRF9,0.3537826362727162,0.9160852432250977,0.9961943348185927,activated_in_AD
UBTF,0.352457024072358,0.9160852432250977,0.9961943348185927,activated_in_AD
ARID3B,0.34640696020588974,0.9160852432250977,0.9961943348185927,activated_in_AD
