"gene","baseMean","log2FC_raw","log2FC_shrunk","lfcSE","pvalue","padj","direction"
"CD200R1",162.020391571254,-0.00733457505759349,-0.00188177300148465,0.715311077833127,0.991818885748765,0.999997691821602,"down_in_AD"
"CD207",907.066641251258,-1.62318981678657,-0.0580205682176096,1.98953765091351,0.414578593682577,0.999997691821602,"down_in_AD"
"CD209",82.0815335448246,-0.24661059423222,-0.0480442367750925,0.848460329865192,0.771313967759174,0.999997691821602,"down_in_AD"
"CD22",40.7789551777947,2.21635375037922,0.693184286058336,0.63091661953807,0.000443226397988621,0.119609075761209,"up_in_AD"
"CD226",251.761066666427,0.12257589065179,0.0750478760062889,0.335055713166121,0.71448645559333,0.999997691821602,"up_in_AD"
"CD24",105.256484949503,0.0873622428348097,0.0324340164604011,0.547711250793626,0.873271652514444,0.999997691821602,"up_in_AD"
"CD244",195.603625551261,-0.348363385888887,-0.106981850678064,0.625565764337272,0.577611251849847,0.999997691821602,"down_in_AD"
"CD248",17.5616524459959,-3.55989254520063,-0.147540906820093,1.6947031732736,0.0356761428125064,0.999997691821602,"down_in_AD"
"CD274",125.226820891257,-0.53363060840366,-0.118220726500475,0.775320550786641,0.491282174754286,0.999997691821602,"down_in_AD"
"CD276",2170.86673032005,-0.0223271388936105,-0.0173262575704064,0.225798081512409,0.921232759003685,0.999997691821602,"down_in_AD"
"CD28",187.046942501082,-0.935793588395174,-0.151025557826443,0.923765543858562,0.311050288909089,0.999997691821602,"down_in_AD"
"CD2AP",902.568596920275,-0.22477840332446,-0.128925123551747,0.361257613657773,0.533803238970079,0.999997691821602,"down_in_AD"
"CD2BP2",350.808736334814,-0.0681981571001053,-0.0495191918732029,0.25808364852379,0.79158862000172,0.999997691821602,"down_in_AD"
"CD300A",884.120941293968,-0.150704972765482,-0.0899037893920379,0.344936881048027,0.662179562858255,0.999997691821602,"down_in_AD"
"CD300C",163.906994702342,0.532277064518812,0.20561266342118,0.534057204165703,0.318926288186173,0.999997691821602,"up_in_AD"
"CD300E",162.935175901381,0.258305779844442,0.0413548159586805,0.96856746271964,0.789709028040056,0.999997691821602,"up_in_AD"
"CD300LB",57.6814729450815,0.637467041169233,0.301097867205817,0.447044822223123,0.153880530063985,0.999997691821602,"up_in_AD"
"CD300LF",853.252139399575,0.692212787093663,0.292372717709611,0.496927129052042,0.163623870127831,0.999997691821602,"up_in_AD"
"CD300LG",23.2066549070115,0.870873713349491,0.167436909018501,0.873413231685197,0.318719651681565,0.999997691821602,"up_in_AD"
"CD302",592.934826760312,-0.529846899764362,-0.417310211260152,0.217570431489132,0.0148798960052631,0.788829503173619,"down_in_AD"
"CD320",65.7481204071408,-0.332079777550306,-0.0851529752796321,0.709353343348213,0.63968134760931,0.999997691821602,"down_in_AD"
"CD33",369.92188805606,-0.126536571441681,-0.0907174223332764,0.263855280556043,0.631534544987957,0.999997691821602,"down_in_AD"
"CD34",130.433632238527,0.722615483877563,0.369003067106791,0.414650907005153,0.0813846204486325,0.999997691821602,"up_in_AD"
"CD36",1454.4583411823,-0.143551700493393,-0.0762930338927458,0.39374406452383,0.715424018365633,0.999997691821602,"down_in_AD"
"CD37",900.777556451987,-0.159584092325477,-0.068682297016068,0.482025911774383,0.740591966137333,0.999997691821602,"down_in_AD"
"CD38",53.5370062063519,0.0788618696398635,0.0234460307598581,0.646658243121958,0.902936293673843,0.999997691821602,"up_in_AD"
"CD3E",12.513105330732,-4.06249213688517,-0.154568700280692,1.82312108559573,0.0258593678185237,0.999997691821602,"down_in_AD"
"CD3EAP",283.101669050983,0.0281785190002491,0.014324094538381,0.41344577618233,0.945662013295214,0.999997691821602,"up_in_AD"
"CD3G",43.1113723437081,-0.117910951794249,-0.0370637549321049,0.61920801053558,0.84897830263184,0.999997691821602,"down_in_AD"
"CD4",2580.13735626203,0.0148736557409141,0.0125645178168237,0.180230722054359,0.934228729853534,0.999997691821602,"up_in_AD"
"CD40",354.650073101984,-0.256855761705534,-0.129767041840702,0.414299695684125,0.535273757010709,0.999997691821602,"down_in_AD"
"CD44",1330.79486936191,1.03617600246886,0.665574006769615,0.316859605759767,0.00107493392198688,0.21310373805339,"up_in_AD"
"CD46",1658.84797477424,0.094790975107259,0.0793285477394477,0.1856847620223,0.60970534836234,0.999997691821602,"up_in_AD"
"CD47",547.944193482411,-0.189448072848585,-0.108809326019596,0.36083530908056,0.599564820310148,0.999997691821602,"down_in_AD"
"CD48",608.053293180015,0.309668622323451,0.207296157272434,0.296380629258095,0.296099598111822,0.999997691821602,"up_in_AD"
"CD5",49.3814657454876,1.06756645235354,0.300237136698387,0.680982082197395,0.116954301663769,0.999997691821602,"up_in_AD"
"CD52",560.360288906641,0.638780372499128,0.214693600797825,0.597473678990026,0.285008578128957,0.999997691821602,"up_in_AD"
"CD53",4282.56686886025,0.151092693249536,0.111156503302705,0.252308860334726,0.549279439258347,0.999997691821602,"up_in_AD"
"CD55",88.7017783165269,0.55053080518415,0.302510591086442,0.382834426295511,0.150423011283783,0.999997691821602,"up_in_AD"
"CD58",381.963207762765,0.0968979591380169,0.0736361800337917,0.236395454582644,0.681880973983079,0.999997691821602,"up_in_AD"
"CD59",4938.78211750323,-0.0040755194454298,-0.00292477245782408,0.263672745694948,0.987667801776498,0.999997691821602,"down_in_AD"
"CD5L",20.0465447668142,-0.967600088770546,-0.141361816862203,0.987302457045397,0.327064280122511,0.999997691821602,"down_in_AD"
"CD6",113.400980893301,0.590175432659305,0.129226209335198,0.803185414428334,0.462465258112255,0.999997691821602,"up_in_AD"
"CD63",5382.5885474777,0.187575114664697,0.106159075634113,0.369127731745806,0.611342723621467,0.999997691821602,"up_in_AD"
"CD68",14297.4132831199,0.110291795827588,0.0567925184496714,0.408731761439461,0.787284068633633,0.999997691821602,"up_in_AD"
"CD70",207.672368393349,-0.015119993024475,-0.00429129667060445,0.667410393561252,0.98192569782869,0.999997691821602,"down_in_AD"
"CD74",26267.8047493881,-0.65841838827414,-0.0940473815133292,1.00406249508825,0.511982167513536,0.999997691821602,"down_in_AD"
"CD80",28.8560129293791,0.17532810671481,0.0133235432404097,1.47398717360541,0.905316402466728,0.999997691821602,"up_in_AD"
"CD81",1963.45437447453,0.0474166528620874,0.0294801385461451,0.328107287585613,0.885093263336479,0.999997691821602,"up_in_AD"
"CD82",1056.69495299586,0.246934553114096,0.0911243883900665,0.552347800454406,0.654829195991963,0.999997691821602,"up_in_AD"
"CD83",1284.70723724856,0.996795195851727,0.364472298847838,0.561578207099763,0.075899687135989,0.999997691821602,"up_in_AD"
"CD84",7280.65524176433,-0.000984422632110813,-0.00057303529709265,0.356169644914524,0.997794717684012,0.999997691821602,"down_in_AD"
"CD86",1204.79802457371,0.132749266309884,0.105376424093588,0.214434328087194,0.535872067833322,0.999997691821602,"up_in_AD"
"CD9",583.366395885487,0.00136429100394195,0.000441696034438833,0.60765147306308,0.998208601703103,0.999997691821602,"up_in_AD"
"CD93",574.188476511334,1.1371847068512,0.283193451429355,0.741000427312295,0.124867037424984,0.999997691821602,"up_in_AD"
"CD96",58.5106079731939,0.123872403514532,0.0451838490874591,0.555448198894845,0.823525060398973,0.999997691821602,"up_in_AD"
"CD99",746.411008370062,-0.387350906195335,-0.156124171126532,0.507017409919425,0.444879460494296,0.999997691821602,"down_in_AD"
"CD99L2",679.40605437568,1.02181227307402,0.66450280840787,0.311221867469147,0.00102625716453902,0.21310373805339,"up_in_AD"
"CDA",9.22020080524538,-0.859398462828221,-0.0389056023942933,1.86948229159923,0.645732547431027,0.999997691821602,"down_in_AD"
"CDADC1",83.7255365765194,-0.277746370293522,-0.138718973084614,0.419200739497686,0.507611282464515,0.999997691821602,"down_in_AD"
"CDAN1",145.635772105149,0.0692566131648137,0.0381406944969092,0.379918880218042,0.855352666392533,0.999997691821602,"up_in_AD"
"CDC123",572.770003549417,0.119394070990599,0.0979391824182575,0.19684687693618,0.54416106404919,0.999997691821602,"up_in_AD"
"CDC14A",159.966823466878,-0.381172516774672,-0.196546102646725,0.404982477811811,0.346598570353958,0.999997691821602,"down_in_AD"
